datetime,T_air,RH,I_global,E_mm_h_LAI0.5,r_s_LAI0.5,E_mm_h_LAI1.0,r_s_LAI1.0,E_mm_h_LAI2.0,r_s_LAI2.0,E_mm_h_LAI3.0,r_s_LAI3.0,E_mm_h_LAI4.0,r_s_LAI4.0
2025-03-19 00:00:00,12.2,0.914,0.0,0.0016380247252570509,1564.1167080000002,0.0032760494505141018,1564.1167080000002,0.0065520989010282036,1564.1167080000002,0.009828148351542306,1564.1167080000002,0.013104197802056407,1564.1167080000002
2025-03-19 00:05:00,12.2,0.915,0.0,0.0016189779261261553,1564.1167080000002,0.0032379558522523107,1564.1167080000002,0.006475911704504621,1564.1167080000002,0.009713867556756933,1564.1167080000002,0.012951823409009243,1564.1167080000002
2025-03-19 00:10:00,12.1,0.913,0.0,0.0016291262936229045,1587.656817,0.003258252587245809,1587.656817,0.006516505174491618,1587.656817,0.009774757761737429,1587.656817,0.013033010348983236,1587.656817
2025-03-19 00:15:00,12.0,0.915,0.0,0.0015647734879001248,1611.4968,0.0031295469758002496,1611.4968,0.006259093951600499,1611.4968,0.009388640927400748,1611.4968,0.012518187903200998,1611.4968
2025-03-19 00:20:00,12.0,0.919,0.0,0.0014911370884695305,1611.4968,0.002982274176939061,1611.4968,0.005964548353878122,1611.4968,0.008946822530817184,1611.4968,0.011929096707756244,1611.4968
2025-03-19 00:25:00,11.9,0.919,0.0,0.0014658825667731785,1635.636657,0.002931765133546357,1635.636657,0.005863530267092714,1635.636657,0.00879529540063907,1635.636657,0.011727060534185428,1635.636657
2025-03-19 00:30:00,11.9,0.921,0.0,0.0014296879354948283,1635.636657,0.0028593758709896566,1635.636657,0.005718751741979313,1635.636657,0.008578127612968969,1635.636657,0.011437503483958627,1635.636657
2025-03-19 00:35:00,11.9,0.923,0.0,0.0013934933042164782,1635.636657,0.0027869866084329563,1635.636657,0.005573973216865913,1635.636657,0.008360959825298869,1635.636657,0.011147946433731825,1635.636657
2025-03-19 00:40:00,11.9,0.929,0.0,0.0012849094103814277,1635.636657,0.0025698188207628554,1635.636657,0.005139637641525711,1635.636657,0.007709456462288566,1635.636657,0.010279275283051422,1635.636657
2025-03-19 00:45:00,12.0,0.926,0.0,0.001362273389465991,1611.4968,0.002724546778931982,1611.4968,0.005449093557863964,1611.4968,0.008173640336795945,1611.4968,0.010898187115727927,1611.4968
2025-03-19 00:50:00,11.9,0.924,0.0,0.001375395988577303,1635.636657,0.002750791977154606,1635.636657,0.005501583954309212,1635.636657,0.008252375931463819,1635.636657,0.011003167908618425,1635.636657
2025-03-19 00:55:00,11.8,0.923,0.0,0.0013698468720912498,1660.076388,0.0027396937441824996,1660.076388,0.005479387488364999,1660.076388,0.0082190812325475,1660.076388,0.010958774976729998,1660.076388
2025-03-19 01:00:00,11.8,0.921,0.0,0.001405427310327386,1660.076388,0.002810854620654772,1660.076388,0.005621709241309544,1660.076388,0.008432563861964316,1660.076388,0.011243418482619089,1660.076388
2025-03-19 01:05:00,11.7,0.92,0.0,0.0013990231365703498,1684.8159930000002,0.0027980462731406995,1684.8159930000002,0.005596092546281399,1684.8159930000002,0.008394138819422097,1684.8159930000002,0.011192185092562798,1684.8159930000002
2025-03-19 01:10:00,11.6,0.919,0.0,0.0013923901413073127,1709.8554720000002,0.0027847802826146254,1709.8554720000002,0.005569560565229251,1709.8554720000002,0.008354340847843877,1709.8554720000002,0.011139121130458502,1709.8554720000002
2025-03-19 01:15:00,11.6,0.917,0.0,0.0014267701447963823,1709.8554720000002,0.0028535402895927646,1709.8554720000002,0.005707080579185529,1709.8554720000002,0.008560620868778296,1709.8554720000002,0.011414161158371058,1709.8554720000002
2025-03-19 01:20:00,11.6,0.918,0.0,0.0014095801430518476,1709.8554720000002,0.0028191602861036952,1709.8554720000002,0.0056383205722073905,1709.8554720000002,0.008457480858311087,1709.8554720000002,0.011276641144414781,1709.8554720000002
2025-03-19 01:25:00,11.5,0.919,0.0,0.0013686432050160338,1735.194825,0.0027372864100320676,1735.194825,0.005474572820064135,1735.194825,0.008211859230096203,1735.194825,0.01094914564012827,1735.194825
2025-03-19 01:30:00,11.4,0.922,0.0,0.001295442979249502,1760.834052,0.002590885958499004,1760.834052,0.005181771916998008,1760.834052,0.007772657875497012,1760.834052,0.010363543833996016,1760.834052
2025-03-19 01:35:00,11.5,0.926,0.0,0.0012503653971751418,1735.194825,0.0025007307943502835,1735.194825,0.005001461588700567,1735.194825,0.007502192383050852,1735.194825,0.010002923177401134,1735.194825
2025-03-19 01:40:00,11.4,0.93,0.0,0.0011625770326598095,1760.834052,0.002325154065319619,1760.834052,0.004650308130639238,1760.834052,0.006975462195958857,1760.834052,0.009300616261278476,1760.834052
2025-03-19 01:45:00,11.4,0.931,0.0,0.0011459687893360976,1760.834052,0.002291937578672195,1760.834052,0.00458387515734439,1760.834052,0.006875812736016585,1760.834052,0.00916775031468878,1760.834052
2025-03-19 01:50:00,11.4,0.931,0.0,0.0011459687893360976,1760.834052,0.002291937578672195,1760.834052,0.00458387515734439,1760.834052,0.006875812736016585,1760.834052,0.00916775031468878,1760.834052
2025-03-19 01:55:00,11.4,0.934,0.0,0.001096144059364963,1760.834052,0.002192288118729926,1760.834052,0.004384576237459852,1760.834052,0.006576864356189777,1760.834052,0.008769152474919705,1760.834052
2025-03-19 02:00:00,11.5,0.936,0.0,0.0010813971002595819,1735.194825,0.0021627942005191638,1735.194825,0.0043255884010383275,1735.194825,0.006488382601557491,1735.194825,0.008651176802076655,1735.194825
2025-03-19 02:05:00,11.5,0.938,0.0,0.0010476034408764719,1735.194825,0.0020952068817529437,1735.194825,0.0041904137635058875,1735.194825,0.006285620645258832,1735.194825,0.008380827527011775,1735.194825
2025-03-19 02:10:00,11.5,0.94,0.0,0.0010138097814933599,1735.194825,0.0020276195629867198,1735.194825,0.0040552391259734396,1735.194825,0.006082858688960159,1735.194825,0.008110478251946879,1735.194825
2025-03-19 02:15:00,11.5,0.941,0.0,0.0009969129518018038,1735.194825,0.0019938259036036076,1735.194825,0.003987651807207215,1735.194825,0.005981477710810823,1735.194825,0.00797530361441443,1735.194825
2025-03-19 02:20:00,11.5,0.941,0.0,0.0009969129518018038,1735.194825,0.0019938259036036076,1735.194825,0.003987651807207215,1735.194825,0.005981477710810823,1735.194825,0.00797530361441443,1735.194825
2025-03-19 02:25:00,11.5,0.944,0.0,0.000946222462727136,1735.194825,0.001892444925454272,1735.194825,0.003784889850908544,1735.194825,0.005677334776362817,1735.194825,0.007569779701817088,1735.194825
2025-03-19 02:30:00,11.5,0.943,0.0,0.000963119292418692,1735.194825,0.001926238584837384,1735.194825,0.003852477169674768,1735.194825,0.005778715754512152,1735.194825,0.007704954339349536,1735.194825
2025-03-19 02:35:00,11.6,0.943,0.0,0.0009798300994384808,1709.8554720000002,0.0019596601988769616,1709.8554720000002,0.003919320397753923,1709.8554720000002,0.005878980596630884,1709.8554720000002,0.007838640795507846,1709.8554720000002
2025-03-19 02:40:00,11.6,0.946,0.0,0.0009282600942048765,1709.8554720000002,0.001856520188409753,1709.8554720000002,0.003713040376819506,1709.8554720000002,0.0055695605652292595,1709.8554720000002,0.007426080753639012,1709.8554720000002
2025-03-19 02:45:00,11.6,0.945,0.0,0.0009454500959494113,1709.8554720000002,0.0018909001918988226,1709.8554720000002,0.0037818003837976452,1709.8554720000002,0.005672700575696468,1709.8554720000002,0.0075636007675952905,1709.8554720000002
2025-03-19 02:50:00,11.6,0.948,0.0,0.000893880090715807,1709.8554720000002,0.001787760181431614,1709.8554720000002,0.003575520362863228,1709.8554720000002,0.005363280544294842,1709.8554720000002,0.007151040725726456,1709.8554720000002
2025-03-19 02:55:00,11.7,0.947,0.0,0.000926852827977858,1684.8159930000002,0.001853705655955716,1684.8159930000002,0.003707411311911432,1684.8159930000002,0.005561116967867148,1684.8159930000002,0.007414822623822864,1684.8159930000002
2025-03-19 03:00:00,11.7,0.949,0.0,0.0008918772495635992,1684.8159930000002,0.0017837544991271984,1684.8159930000002,0.0035675089982543967,1684.8159930000002,0.005351263497381595,1684.8159930000002,0.0071350179965087935,1684.8159930000002
2025-03-19 03:05:00,11.7,0.949,0.0,0.0008918772495635992,1684.8159930000002,0.0017837544991271984,1684.8159930000002,0.0035675089982543967,1684.8159930000002,0.005351263497381595,1684.8159930000002,0.0071350179965087935,1684.8159930000002
2025-03-19 03:10:00,11.7,0.95,0.0,0.0008743894603564699,1684.8159930000002,0.0017487789207129398,1684.8159930000002,0.0034975578414258796,1684.8159930000002,0.005246336762138819,1684.8159930000002,0.006995115682851759,1684.8159930000002
2025-03-19 03:15:00,11.7,0.952,0.0,0.000839413881942211,1684.8159930000002,0.001678827763884422,1684.8159930000002,0.003357655527768844,1684.8159930000002,0.005036483291653265,1684.8159930000002,0.006715311055537688,1684.8159930000002
2025-03-19 03:20:00,11.8,0.954,0.0,0.0008183500794311375,1660.076388,0.001636700158862275,1660.076388,0.00327340031772455,1660.076388,0.004910100476586825,1660.076388,0.0065468006354491,1660.076388
2025-03-19 03:25:00,11.9,0.957,0.0,0.0007781845724845279,1635.636657,0.0015563691449690558,1635.636657,0.0031127382899381116,1635.636657,0.004669107434907167,1635.636657,0.006225476579876223,1635.636657
2025-03-19 03:30:00,12.0,0.957,0.0,0.0007915912938788877,1611.4968,0.0015831825877577754,1611.4968,0.003166365175515551,1611.4968,0.004749547763273325,1611.4968,0.006332730351031102,1611.4968
2025-03-19 03:35:00,12.0,0.957,0.0,0.0007915912938788877,1611.4968,0.0015831825877577754,1611.4968,0.003166365175515551,1611.4968,0.004749547763273325,1611.4968,0.006332730351031102,1611.4968
2025-03-19 03:40:00,12.1,0.958,0.0,0.0007864747624386447,1587.656817,0.0015729495248772893,1587.656817,0.0031458990497545787,1587.656817,0.004718848574631868,1587.656817,0.006291798099509157,1587.656817
2025-03-19 03:45:00,12.1,0.956,0.0,0.0008239259416023897,1587.656817,0.0016478518832047794,1587.656817,0.0032957037664095587,1587.656817,0.004943555649614338,1587.656817,0.0065914075328191175,1587.656817
2025-03-19 03:50:00,12.1,0.954,0.0,0.0008613771207661348,1587.656817,0.0017227542415322696,1587.656817,0.0034455084830645392,1587.656817,0.005168262724596809,1587.656817,0.0068910169661290785,1587.656817
2025-03-19 03:55:00,12.1,0.954,0.0,0.0008613771207661348,1587.656817,0.0017227542415322696,1587.656817,0.0034455084830645392,1587.656817,0.005168262724596809,1587.656817,0.0068910169661290785,1587.656817
2025-03-19 04:00:00,12.1,0.954,0.0,0.0008613771207661348,1587.656817,0.0017227542415322696,1587.656817,0.0034455084830645392,1587.656817,0.005168262724596809,1587.656817,0.0068910169661290785,1587.656817
2025-03-19 04:05:00,12.1,0.956,0.0,0.0008239259416023897,1587.656817,0.0016478518832047794,1587.656817,0.0032957037664095587,1587.656817,0.004943555649614338,1587.656817,0.0065914075328191175,1587.656817
2025-03-19 04:10:00,12.2,0.955,0.0,0.0008571059608903184,1564.1167080000002,0.0017142119217806368,1564.1167080000002,0.0034284238435612737,1564.1167080000002,0.00514263576534191,1564.1167080000002,0.006856847687122547,1564.1167080000002
2025-03-19 04:15:00,12.1,0.957,0.0,0.0008052003520205173,1587.656817,0.0016104007040410346,1587.656817,0.003220801408082069,1587.656817,0.004831202112123103,1587.656817,0.006441602816164138,1587.656817
2025-03-19 04:20:00,12.2,0.955,0.0,0.0008571059608903184,1564.1167080000002,0.0017142119217806368,1564.1167080000002,0.0034284238435612737,1564.1167080000002,0.00514263576534191,1564.1167080000002,0.006856847687122547,1564.1167080000002
2025-03-19 04:25:00,12.3,0.959,0.0,0.0007942823038281808,1540.8764729999998,0.0015885646076563616,1540.8764729999998,0.0031771292153127233,1540.8764729999998,0.004765693822969085,1540.8764729999998,0.0063542584306254465,1540.8764729999998
2025-03-19 04:30:00,12.4,0.961,0.0,0.0007684332328489091,1517.9361119999999,0.0015368664656978182,1517.9361119999999,0.0030737329313956364,1517.9361119999999,0.004610599397093455,1517.9361119999999,0.006147465862791273,1517.9361119999999
2025-03-19 04:35:00,12.4,0.961,0.0,0.0007684332328489091,1517.9361119999999,0.0015368664656978182,1517.9361119999999,0.0030737329313956364,1517.9361119999999,0.004610599397093455,1517.9361119999999,0.006147465862791273,1517.9361119999999
2025-03-19 04:40:00,12.5,0.962,0.0,0.0007614756534621433,1495.295625,0.0015229513069242866,1495.295625,0.003045902613848573,1495.295625,0.00456885392077286,1495.295625,0.006091805227697146,1495.295625
2025-03-19 04:45:00,12.5,0.964,0.0,0.0007213979874904515,1495.295625,0.001442795974980903,1495.295625,0.002885591949961806,1495.295625,0.004328387924942709,1495.295625,0.005771183899923612,1495.295625
